key,employee-code,phone-number,language-skills,availability-status,salary,years-of-experience,key:userAccount,key:airline
flight-crew-member-24,YLS479494,34640103529,洛伦·伊普森,AVAILABLE,EUR 500000.00,60,user-account-flight-crew-member-01,airline-01
flight-crew-member-25,MR920264,34640103529,<marquee>Hacked</marquee>,AVAILABLE,EUR 500000.00,60,user-account-flight-crew-member-01,airline-01
flight-crew-member-26,OTB285425,34640103529,<script>alert(‘Hacked!’);</script>,AVAILABLE,EUR 500000.00,60,user-account-flight-crew-member-01,airline-01
flight-crew-member-27,AQW655503,34640103529,' or 'A' = 'A,AVAILABLE,EUR 500000.00,60,user-account-flight-crew-member-01,airline-01
# availabilityStatus - standard variations,,,,,,,,
flight-crew-member-28,DSL932582,34640103529,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",ON_VACATION,EUR 500000.00,60,user-account-flight-crew-member-01,airline-01
flight-crew-member-29,GMX446813,34640103529,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",ON_LEAVE,EUR 500000.00,60,user-account-flight-crew-member-01,airline-01
# salary - standard variations,,,,,,,,
flight-crew-member-30,CDQ046452,34640103529,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AVAILABLE,EUR 0.00,60,user-account-flight-crew-member-01,airline-01
flight-crew-member-31,LJ431444,34640103529,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AVAILABLE,EUR 0.01,60,user-account-flight-crew-member-01,airline-01
flight-crew-member-32,NTW502436,34640103529,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AVAILABLE,EUR 999999.99,60,user-account-flight-crew-member-01,airline-01
flight-crew-member-33,PWQ927766,34640103529,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AVAILABLE,EUR 1000000.00,60,user-account-flight-crew-member-01,airline-01
# yearsOfExperience - standard variations,,,,,,,,
flight-crew-member-34,WQ663439,34640103529,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AVAILABLE,EUR 500000.00,0,user-account-flight-crew-member-01,airline-01
flight-crew-member-35,CD961513,34640103529,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AVAILABLE,EUR 500000.00,1,user-account-flight-crew-member-01,airline-01
flight-crew-member-36,UC911076,34640103529,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AVAILABLE,EUR 500000.00,119,user-account-flight-crew-member-01,airline-01
flight-crew-member-37,HW926516,34640103529,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AVAILABLE,EUR 500000.00,120,user-account-flight-crew-member-01,airline-01
